S1,S2
"0 days, 0 hours, 02 minutes and 09 seconds","0 days, 0 hours, 01 minutes and 01 seconds"
"0 days, 0 hours, 03 minutes and 35 seconds","0 days, 0 hours, 02 minutes and 15 seconds"
"0 days, 0 hours, 03 minutes and 53 seconds","0 days, 0 hours, 02 minutes and 40 seconds"
"0 days, 0 hours, 03 minutes and 57 seconds","0 days, 0 hours, 02 minutes and 53 seconds"
"0 days, 0 hours, 05 minutes and 02 seconds","0 days, 0 hours, 03 minutes and 26 seconds"
"0 days, 0 hours, 05 minutes and 11 seconds","0 days, 0 hours, 03 minutes and 48 seconds"
"0 days, 0 hours, 05 minutes and 12 seconds","0 days, 0 hours, 04 minutes and 37 seconds"
"0 days, 0 hours, 05 minutes and 31 seconds","0 days, 0 hours, 04 minutes and 39 seconds"
"0 days, 0 hours, 05 minutes and 39 seconds","0 days, 0 hours, 05 minutes and 03 seconds"
"0 days, 0 hours, 06 minutes and 34 seconds","0 days, 0 hours, 05 minutes and 16 seconds"
"0 days, 0 hours, 06 minutes and 47 seconds","0 days, 0 hours, 05 minutes and 44 seconds"
"0 days, 0 hours, 06 minutes and 49 seconds","0 days, 0 hours, 05 minutes and 47 seconds"
"0 days, 0 hours, 06 minutes and 51 seconds","0 days, 0 hours, 06 minutes and 36 seconds"
"0 days, 0 hours, 07 minutes and 06 seconds","0 days, 0 hours, 06 minutes and 38 seconds"
"0 days, 0 hours, 07 minutes and 18 seconds","0 days, 0 hours, 06 minutes and 41 seconds"
"0 days, 0 hours, 07 minutes and 31 seconds","0 days, 0 hours, 07 minutes and 11 seconds"
"0 days, 0 hours, 08 minutes and 12 seconds","0 days, 0 hours, 07 minutes and 17 seconds"
"0 days, 0 hours, 08 minutes and 28 seconds","0 days, 0 hours, 08 minutes and 03 seconds"
"0 days, 0 hours, 09 minutes and 18 seconds","0 days, 0 hours, 08 minutes and 17 seconds"
"0 days, 0 hours, 10 minutes and 24 seconds","0 days, 0 hours, 08 minutes and 40 seconds"
"0 days, 0 hours, 11 minutes and 36 seconds","0 days, 0 hours, 09 minutes and 06 seconds"
"0 days, 0 hours, 14 minutes and 53 seconds","0 days, 0 hours, 09 minutes and 16 seconds"
"0 days, 0 hours, 14 minutes and 58 seconds","0 days, 0 hours, 10 minutes and 09 seconds"
"0 days, 0 hours, 16 minutes and 14 seconds","0 days, 0 hours, 10 minutes and 25 seconds"
"0 days, 0 hours, 27 minutes and 48 seconds","0 days, 0 hours, 11 minutes and 04 seconds"
"0 days, 0 hours, 28 minutes and 08 seconds","0 days, 0 hours, 11 minutes and 58 seconds"
"0 days, 0 hours, 35 minutes and 36 seconds","0 days, 0 hours, 13 minutes and 05 seconds"
"0 days, 0 hours, 35 minutes and 59 seconds","0 days, 0 hours, 14 minutes and 12 seconds"
"0 days, 0 hours, 41 minutes and 40 seconds","0 days, 0 hours, 15 minutes and 44 seconds"
"0 days, 1 hours, 03 minutes and 41 seconds","0 days, 0 hours, 17 minutes and 10 seconds"
"0 days, 1 hours, 09 minutes and 02 seconds","0 days, 0 hours, 29 minutes and 00 seconds"
"0 days, 1 hours, 09 minutes and 58 seconds","0 days, 0 hours, 38 minutes and 19 seconds"
"0 days, 1 hours, 20 minutes and 44 seconds","0 days, 0 hours, 44 minutes and 19 seconds"
"0 days, 1 hours, 44 minutes and 38 seconds","0 days, 0 hours, 54 minutes and 20 seconds"
"0 days, 1 hours, 56 minutes and 50 seconds","0 days, 0 hours, 54 minutes and 28 seconds"
"0 days, 2 hours, 28 minutes and 32 seconds","0 days, 1 hours, 08 minutes and 30 seconds"
"0 days, 2 hours, 30 minutes and 25 seconds","0 days, 1 hours, 25 minutes and 14 seconds"
"0 days, 20 hours, 11 minutes and 20 seconds","0 days, 20 hours, 29 minutes and 20 seconds"
"0 days, 21 hours, 29 minutes and 41 seconds","0 days, 20 hours, 42 minutes and 21 seconds"
"0 days, 22 hours, 54 minutes and 27 seconds","0 days, 20 hours, 45 minutes and 49 seconds"
"0 days, 23 hours, 06 minutes and 23 seconds","0 days, 21 hours, 15 minutes and 12 seconds"
"1 days, 0 hours, 02 minutes and 05 seconds","0 days, 21 hours, 20 minutes and 03 seconds"
"1 days, 0 hours, 42 minutes and 06 seconds","0 days, 23 hours, 29 minutes and 59 seconds"
"1 days, 1 hours, 17 minutes and 10 seconds","0 days, 23 hours, 36 minutes and 45 seconds"
"1 day, 2 hours, 05 minutes and 50 seconds","0 days, 23 hours, 37 minutes and 39 seconds"
"1 day, 2 hours, 24 minutes and 02 seconds","0 days, 23 hours, 50 minutes and 35 seconds"
"1 days, 20 hours, 52 minutes and 07 seconds","0 days, 23 hours, 58 minutes and 50 seconds"
"1 days, 21 hours, 53 minutes and 40 seconds","0 days, 23 hours, 59 minutes and 02 seconds"
"119 days, 1 hours, 33 minutes and 26 seconds","1 days, 0 hours, 08 minutes and 40 seconds"
"13 days, 0 hours, 25 minutes and 56 seconds","1 days, 1 hours, 59 minutes and 27 seconds"
"13 days, 16 hours, 15 minutes and 50 seconds","1 days, 20 hours, 29 minutes and 30 seconds"
"13 days, 22 hours, 05 minutes and 40 seconds","1 days, 22 hours, 46 minutes and 47 seconds"
"15 days, 0 hours, 30 minutes and 29 seconds","1 days, 23 hours, 37 minutes and 22 seconds"
"15 days, 21 hours, 40 minutes and 13 seconds","11 days, 22 hours, 47 minutes and 13 seconds"
"159 days, 0 hours, 05 minutes and 07 seconds","12 days, 1 hour, 04 minutes and 54 seconds"
"2 days, 3 hours, 54 minutes and 37 seconds","12 days, 22 hours, 28 minutes and 15 seconds"
"20 days, 3 hours, 11 minutes and 02 seconds","13 days, 22 hours, 35 minutes and 59 seconds"
"206 days, 21 hours, 40 minutes and 27 seconds","14 days, 0 hours, 35 minutes and 33 seconds"
"22 days, 0 hours, 15 minutes and 13 seconds","14 days, 21 hours, 42 minutes and 21 seconds"
"3 days, 2 hours, 30 minutes and 18 seconds","14 days, 23 hours, 41 minutes and 14 seconds"
"39 days, 19 hours, 41 minutes and 15 seconds","14 days, 23 hours, 58 minutes and 25 seconds"
"4 days, 20 hours, 32 minutes and 19 seconds","19 days, 1 hour, 25 minutes and 41 seconds"
"4 days, 20 hours, 58 minutes and 27 seconds","19 days, 23 hours, 23 minutes and 58 seconds"
"4 days, 21 hours, 22 minutes and 55 seconds","2 days, 0 hours, 00 minutes and 26 seconds"
"4 days, 21 hours, 27 minutes and 13 seconds","2 days, 17 hours, 16 minutes and 06 seconds"
"4 days, 22 hours, 08 minutes and 47 seconds","2 days, 2 hours, 10 minutes and 48 seconds"
"5 days, 0 hours, 50 minutes and 36 seconds","2 days, 20 hours, 22 minutes and 43 seconds"
"5 days, 16 hours, 03 minutes and 45 seconds","21 days, 0 hours, 46 minutes and 30 seconds"
"5 days, 19 hours, 14 minutes and 08 seconds","21 days, 0 hours, 48 minutes and 38 seconds"
"5 days, 20 hours, 11 minutes and 41 seconds","21 days, 1 hours, 59 minutes and 15 seconds"
"5 days, 22 hours, 44 minutes and 59 seconds","4 days, 22 hours, 29 minutes and 17 seconds"
"5 days, 23 hours, 13 minutes and 26 seconds","5 days, 0 hours, 54 minutes and 10 seconds"
"56 days, 2 hours, 42 minutes and 45 seconds","5 days, 1 hour, 35 minutes and 20 seconds"
"6 days, 0 hours, 00 minutes and 29 seconds","5 days, 1 hour, 57 minutes and 49 seconds"
"6 days, 1 hour, 30 minutes and 27 seconds","5 days, 20 hours, 22 minutes and 41 seconds"
"63 days, 15 hours, 57 minutes and 52 seconds","5 days, 20 hours, 56 minutes and 08 seconds"
"7 days, 1 hour, 16 minutes and 56 seconds","5 days, 21 hours, 16 minutes and 54 seconds"
"7 days, 1 hour, 29 minutes and 54 seconds","5 days, 21 hours, 24 minutes and 13 seconds"
"7 days, 2 hours, 55 minutes and 39 seconds","5 days, 22 hours, 03 minutes and 37 seconds"
"9 days, 0 hours, 55 minutes and 48 seconds","5 days, 22 hours, 44 minutes and 47 seconds"
,"5 days, 22 hours, 50 minutes and 32 seconds"
,"5 days, 23 hours, 13 minutes and 15 seconds"
,"6 days, 0 hours, 01 minutes and 20 seconds"
,"6 days, 0 hours, 33 minutes and 12 seconds"
,"6 days, 1 hour, 32 minutes and 06 seconds"
,"6 days, 20 hours, 45 minutes and 01 seconds"
,"6 days, 23 hours, 24 minutes and 31 seconds"
,"6 days, 23 hours, 33 minutes and 32 seconds"
,"64 days, 23 hours, 24 minutes and 05 seconds"
,"7 days, 0 hours, 00 minutes and 00 seconds"
,"7 days, 0 hours, 30 minutes and 41 seconds"
,"7 days, 0 hours, 41 minutes and 01 seconds"
,"8 days, 0 hours, 04 minutes and 27 seconds"
,"8 days, 22 hours, 01 minutes and 04 seconds"
,"8 days, 23 hours, 45 minutes and 30 seconds"
,"84 days, 21 hours, 56 minutes and 22 seconds"
