Person,System,Role,Experience time with system development (in years),Education level,Level of knowledge in continuous integration,Project decomposition in the repository does not follow modularization principles,Test cases are not organized in folders based on their purposes,Local and remote workspace are not aligned,Number of branches do not fit the project needs/characteristics,A stable release branch is missing,Feature branches are used instead of feature toggles,Divergent Branches,"Generated artifacts are versioned, while they should not",Blobs are unnecessarily checked-in at every build instead of being cached,Pipeline related resources are not versioned,Resources related to the same pipeline stage are distributed over several servers,The CI server hardware is used for different purposes other than running the CI framework,External tools are used with their default configurations,Different releases of tools/plugins versions are installed on the same server,Different plugins are used to perform the same task in the same build process,A task is implemented using an unsuitable tool/plugin,Use shell scripts for a task for which there is a suitable plugin available,Inappropriate build environment clean-up strategy,Missing Package Management,Wide and incohesive build jobs are used,Monolithic builds are used in the pipeline,Independent build jobs are not executed in parallel,"Only the last commit is built, aborting obsolete and queued builds",Build steps are not properly ordered,Pipeline steps/stages are skipped arbitrarily,Tasks are not properly distributed among different build stages,Incremental builds are used while never building the whole project from scratch,Poor build triggering strategy,Private builds are not used,Some pipeline's tasks are started manually,Use of nightly builds,Inactive projects are being polled,A build is succeeded when a task is failed or an error is thrown,"A build fails because of some flakiness in the execution, whereas it should not",Dependency management is not used,Including unneeded dependencies,Some tasks are executed without clearly reporting their results in the build output,The output of different build tasks are mixed in the build output,Failures notifications are only sent to teams/developers that explicitly subscribed,Missing notification mechanism,"Build reports contain verbose, irrelevant information",Time-out is not properly configured,Unneeded tasks are scheduled in the build process,Build time for the commit stage overcomes the 10-minutes rule,Unnecessary re-build steps are performed,Authentication data is hardcoded (in clear) under VCS,Absolute/machine-dependent paths are used,Build scripts are highly dependent upon the IDE,Environment variables are not used at all,Build configurations are cloned in the different environments,Build jobs are not parameterized,Lengthy build scripts,"Missing smoke test, set of tests to verify the testability of the build",Missing/Poor strict naming convention for build jobs,Lack of testing in a production-like environment,Code coverage tools are run only while performing testing different from unit and integration,Coverage thresholds are fixed on what reached in previous builds,Coverage thresholds are too high,Missing tests on feature branches,All permutations of feature toggles are tested,Production resources are used for testing purposes,Testing is not fully automated leading to a non-reproducible build,Test suite contains flaky tests,Bad choice on the subset of test cases to run on the CI server,Failed tests are re-executed in the same build,Quality gates are defined without developers considering only what dictated by the customer,Use quality gates in order to monitor the activity of specific developers,Unnecessary static analysis checks are included in the build process,Artifacts locally generated are deployed,Missing artifacts repository,Missing rollback strategy,Release tag strategy is missing,Missing check for deliverables,Changes are pulled before fixing a previous build failure,Team meeting/discussion is performed just before pushing on the master branch,Developers and operators are kept as separate roles,Developers do not have a complete control of the environment,Build failures are not fixed immediately giving priority to other changes,Issue notifications are ignored,Quote and describe your perception of the positive impacts of good IC practice on the health of software. Exemplify for clarity of your response.,Quote and describe your perception of the negative impacts of poor IC practices on the health of software. Exemplify for clarity of your response.
P1,S1,Project manager,11,Master,Basic,None in the project,None in the project,None in the project,None in the project,None in the project,It exists and impacts lightly,It exists and impacts lightly,None in the project, I do not know inform,None in the project,It exists and impacts lightly,It exists and impacts lightly,There is but no impact, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,It exists and impacts lightly,It exists and impacts lightly,There is but no impact, I do not know inform,None in the project,None in the project,None in the project, I do not know inform,None in the project,None in the project,None in the project,There is but no impact,None in the project,There is but no impact, I do not know inform,None in the project,Exists and impacts strongly,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,It exists and impacts lightly,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project, I do not know inform,None in the project,It exists and impacts lightly,It exists and impacts lightly,It exists and impacts lightly,None in the project,None in the project,"I believe that information such as build status, test statistics and quality analysis provide valuable information for making technical decisions on the project. In addition, maintaining continuous quality mediation encourages developers to apply good programming practices. Another positive impact is that by keeping the development base constantly intact, the team keeps the focus on development, without the concern that some functionality is not working properly.","Rework and waste of time, increased costs, low confidence in the quality of the code are some impacts that I perceive. Another negative impact is the chance of conflicts appearing if integration is not carried out daily, bad practice that increases the time, complexity and cost to correct these conflicts."
P2,S2,Project manager,10,Master,Intermediary,None in the project,Exists and impacts strongly,None in the project,None in the project,None in the project,There is but no impact,It exists and impacts lightly, I do not know inform, I do not know inform, I do not know inform, I do not know inform,There is but no impact,It exists and impacts lightly,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,None in the project, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,There is but no impact,There is but no impact,None in the project,None in the project,None in the project,It exists and impacts lightly,None in the project,There is but no impact,It exists and impacts lightly, I do not know inform,None in the project,Exists and impacts strongly,It exists and impacts lightly, I do not know inform,None in the project,None in the project,None in the project,None in the project,Exists and impacts strongly,None in the project,There is but no impact, I do not know inform, I do not know inform,None in the project,It exists and impacts lightly,It exists and impacts lightly,Exists and impacts strongly,Exists and impacts strongly, I do not know inform,There is but no impact,Exists and impacts strongly,None in the project,It exists and impacts lightly,Exists and impacts strongly, I do not know inform, I do not know inform, I do not know inform,Exists and impacts strongly,None in the project,Exists and impacts strongly,Exists and impacts strongly,Exists and impacts strongly,It exists and impacts lightly,Exists and impacts strongly,It exists and impacts lightly,It exists and impacts lightly,It exists and impacts lightly,Exists and impacts strongly,Exists and impacts strongly,There is but no impact,Exists and impacts strongly,"The automation of tasks in accordance with CI best practices gives greater security in the deployment of software in production, in addition to allowing an analysis of software quality and greater productivity of the development team. ",It can generate a lot of rework and cause time to be wasted on configuration problems that would not exist if good IC practice was used.
P3,S1,Developer,5,Graduation,Intermediary, I do not know inform,None in the project,None in the project,There is but no impact,None in the project, I do not know inform,None in the project, I do not know inform,None in the project, I do not know inform, I do not know inform, I do not know inform,None in the project,There is but no impact,There is but no impact,None in the project, I do not know inform,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project, I do not know inform,None in the project, I do not know inform,None in the project, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,None in the project, I do not know inform,There is but no impact,None in the project,There is but no impact,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,There is but no impact,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,It allowed better integration between tasks and with other developers. Because at certain times to perform an activity it was necessary part of the activity that another developer was performing and allowed better access between activities and better communication between developers.,"It harms the software in several ways, the main one is the lack of standardization among developers. If a standard form of the developed form is not defined, several conflicts may occur."
P4,S2,Developer,4,Graduation,Basic,There is but no impact, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform,None in the project, I do not know inform, I do not know inform, I do not know inform,None in the project, I do not know inform,There is but no impact,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,It exists and impacts lightly, I do not know inform,None in the project,There is but no impact,None in the project,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,None in the project, I do not know inform, I do not know inform,None in the project, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project, I do not know inform, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project, I do not know inform,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,It exists and impacts lightly, I do not know inform,None in the project,"At the beginning of the internship there are always some mini-courses and lectures about good programming practices. Many students are adapted to a course that is more theoretical than practical, which ends up making it difficult to implement good practices, since the program is rarely used. By doing more analysis about the simplest things of good practices, during the internship I learned a lot about dividing the code well, indenting, naming methods and variables, etc. It ends up generating a code that is easier to understand, manipulate and maintain.","Generally the programmer is lazy to generate code when you have something ready. One thing I've seen and done a few times is copy code written before. This is bad practice that if done several times, can get in the way of software health."
P5,S2,Developer,3,Graduation,Basic,None in the project,It exists and impacts lightly,It exists and impacts lightly,None in the project,None in the project,There is but no impact,Exists and impacts strongly, I do not know inform,There is but no impact, I do not know inform,None in the project,It exists and impacts lightly, I do not know inform,None in the project,None in the project,It exists and impacts lightly, I do not know inform,It exists and impacts lightly,None in the project,None in the project, I do not know inform,None in the project, I do not know inform,None in the project,None in the project,None in the project,None in the project,There is but no impact,None in the project,There is but no impact,None in the project,None in the project,There is but no impact,There is but no impact,None in the project,There is but no impact,It exists and impacts lightly,It exists and impacts lightly,It exists and impacts lightly,None in the project,Exists and impacts strongly, I do not know inform,There is but no impact,None in the project,There is but no impact,It exists and impacts lightly,It exists and impacts lightly,None in the project,Exists and impacts strongly,None in the project,None in the project,There is but no impact, I do not know inform,There is but no impact,It exists and impacts lightly,None in the project, I do not know inform, I do not know inform,Exists and impacts strongly,None in the project,None in the project,None in the project, I do not know inform,None in the project,None in the project,It exists and impacts lightly,None in the project,It exists and impacts lightly,None in the project,None in the project,It exists and impacts lightly,It exists and impacts lightly, I do not know inform,None in the project,None in the project,None in the project,It exists and impacts lightly,There is but no impact,None in the project,"The use of good CI practices allows for better visibility of the project through the identification of information pertinent to the development, such as frequency of defective codes and location of these codes and the existence of complex modules and unnecessary codes, allowing greater management of the project. In addition, it allows the visualization of successful or unsuccessful changes and a more efficient collection of metrics with each build performed.","Poor IC practices can lead to unreliable feedback during the build process, leading to unnecessary modifications to the software source code. In addition, IC malpractices can cause slow feedback feedback and accumulation of local code pending integration that can cause a large number of conflicts with the main code, increasing the time, complexity for correction, damaging the health of the software."
P6,S2,Developer,2,Graduation,Basic,None in the project,It exists and impacts lightly,None in the project,None in the project,None in the project,It exists and impacts lightly,It exists and impacts lightly, I do not know inform,None in the project, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform, I do not know inform, I do not know inform,None in the project,It exists and impacts lightly,None in the project,None in the project,None in the project,None in the project,There is but no impact,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,There is but no impact,None in the project,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,None in the project,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform,It exists and impacts lightly, I do not know inform,It exists and impacts lightly,It exists and impacts lightly, I do not know inform, I do not know inform,It exists and impacts lightly,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,It exists and impacts lightly,There is but no impact, I do not know inform,None in the project,Good CI practices help in the discovery of bugs and control in the evolution of the project. ,One bad practice of using continuous integration is the lack of automated testing. So you will not be able to guarantee that the new features will not harm existing ones. 
P7,S1,Developer,2,Graduation,Intermediary,Exists and impacts strongly, I do not know inform, I do not know inform,Exists and impacts strongly, I do not know inform,Exists and impacts strongly,Exists and impacts strongly, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,Exists and impacts strongly, I do not know inform, I do not know inform,Exists and impacts strongly, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project, I do not know inform,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,Exists and impacts strongly,None in the project, I do not know inform, I do not know inform,Exists and impacts strongly, I do not know inform, I do not know inform,It exists and impacts lightly, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project,It exists and impacts lightly, I do not know inform, I do not know inform, I do not know inform,"I believe that using good software practices, the project has better maintenance and understanding about possible problems.","Some versioning issues, structure of ongoing and integrated activities should be discussed more with developers who often have no notion of what they should do to develop using good practices"
P8,S2,Developer,"1,5",Graduation,Basic, I do not know inform,None in the project, I do not know inform,None in the project,None in the project,It exists and impacts lightly,Exists and impacts strongly, I do not know inform, I do not know inform,None in the project, I do not know inform,None in the project, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform, I do not know inform,None in the project,None in the project,None in the project, I do not know inform,None in the project,None in the project, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,There is but no impact,None in the project,None in the project,None in the project,None in the project,None in the project,There is but no impact,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project,None in the project, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform, I do not know inform,It exists and impacts lightly,None in the project,None in the project, I do not know inform, I do not know inform, I do not know inform, I do not know inform, I do not know inform,None in the project,None in the project, I do not know inform, I do not know inform,It exists and impacts lightly,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,"Fast system update, fast deliveries and frequent error reduction.",Development environments with very large disparities in relation to the evolution of software. 
P9,S1,Developer,1,Graduation,Basic,None in the project,There is but no impact,None in the project,It exists and impacts lightly,None in the project, I do not know inform,Exists and impacts strongly,Exists and impacts strongly,None in the project, I do not know inform, I do not know inform,It exists and impacts lightly, I do not know inform, I do not know inform,None in the project,It exists and impacts lightly, I do not know inform, I do not know inform,None in the project, I do not know inform,It exists and impacts lightly,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,None in the project,There is but no impact, I do not know inform, I do not know inform,None in the project,It exists and impacts lightly,None in the project,None in the project,It exists and impacts lightly,None in the project,Exists and impacts strongly,None in the project,None in the project, I do not know inform,None in the project,It exists and impacts lightly,None in the project, I do not know inform,None in the project,None in the project, I do not know inform,There is but no impact, I do not know inform,It exists and impacts lightly,Exists and impacts strongly, I do not know inform,None in the project,None in the project,None in the project,It exists and impacts lightly,Exists and impacts strongly,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project,Exists and impacts strongly,None in the project, I do not know inform,None in the project,None in the project,None in the project,None in the project,It exists and impacts lightly,None in the project,None in the project,There is but no impact,None in the project,None in the project,"The gains generated by CI are perceptible by reducing the possible propagation of errors, poor implementation of a functionality, security risks among others. Thus, changes in stages following the integration process can be more easily implemented with reduced time and cost.     ","When there is no full assurance in the IC, mapping and/or detection of subsequent failures cannot be foreseen. Therefore, the team will be held hostage to feedbacks from its users in order to perform bug fixes and improve the software. Thus, a bad reputation of the software is presented and a commitment of the team to the client is observed.    "
P10,S2,Developer,1,Graduation,Basic,None in the project,None in the project,None in the project,None in the project,None in the project,Exists and impacts strongly,None in the project,Exists and impacts strongly,None in the project,None in the project, I do not know inform, I do not know inform,Exists and impacts strongly, I do not know inform, I do not know inform,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform,Exists and impacts strongly,Exists and impacts strongly, I do not know inform,None in the project, I do not know inform, I do not know inform,It exists and impacts lightly,It exists and impacts lightly,None in the project,None in the project,Exists and impacts strongly,It exists and impacts lightly,Exists and impacts strongly,None in the project, I do not know inform, I do not know inform,Exists and impacts strongly,None in the project,None in the project,None in the project,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,Exists and impacts strongly,Exists and impacts strongly, I do not know inform, I do not know inform,There is but no impact, I do not know inform,None in the project,None in the project,None in the project, I do not know inform, I do not know inform,None in the project,Exists and impacts strongly,Exists and impacts strongly,None in the project,None in the project,None in the project, I do not know inform,There is but no impact,It exists and impacts lightly,It exists and impacts lightly, I do not know inform,None in the project,None in the project, I do not know inform,None in the project,Exists and impacts strongly,Exists and impacts strongly,None in the project,There is but no impact,None in the project,None in the project,"Points such as automated build, short test management, team meetings have greatly improved my project work experience.",Poor distribution of builds priorities can affect performance and create confusion for those working on the project.
