Person,Level of education,Role in the organization,Level of knowledge in continuous integration,Level of knowledge in software quality,The following CI bad practices can impact on which indicators of software quality? [Feature branches are used instead of feature toggles],The following CI bad practices can impact on which indicators of software quality? [Divergent Branches],The following CI bad practices can impact on which indicators of software quality? [Developers do not have a complete control of the environment],The following CI bad practices can impact on which indicators of software quality? [Failures notifications are only sent to teams/developers that explicitly subscribed],The following CI bad practices can impact on which indicators of software quality? [Missing tests on feature branches],The following CI bad practices can impact on which indicators of software quality? [Some pipeline's tasks are started manually],The following CI bad practices can impact on which indicators of software quality? [Lack of testing in a production-like environment],The following CI bad practices can impact on which indicators of software quality? [Test cases are not organized in folders based on their purposes],The following CI bad practices can impact on which indicators of software quality? [The CI server hardware is used for different purposes other than running the CI framework],The following CI bad practices can impact on which indicators of software quality? [External tools are used with their default configurations],"The following CI bad practices can impact on which indicators of software quality? [A build fails because of some flakiness in the execution, whereas it should not]",The following CI bad practices can impact on which indicators of software quality? [Lengthy build scripts],The following CI bad practices can impact on which indicators of software quality? [Quality gates are defined without developers considering only what dictated by the customer],The following CI bad practices can impact on which indicators of software quality? [Developers and operators are kept as separate roles],What is the level of effort to resolve the following CI bad practices? [Feature branches are used instead of feature toggles],What is the level of effort to resolve the following CI bad practices? [Divergent Branches],What is the level of effort to resolve the following CI bad practices? [Developers do not have a complete control of the environment],What is the level of effort to resolve the following CI bad practices? [Failures notifications are only sent to teams/developers that explicitly subscribed],What is the level of effort to resolve the following CI bad practices? [Missing tests on feature branches],What is the level of effort to resolve the following CI bad practices? [Some pipeline's tasks are started manually],What is the level of effort to resolve the following CI bad practices? [Lack of testing in a production-like environment],What is the level of effort to resolve the following CI bad practices? [Test cases are not organized in folders based on their purposes],What is the level of effort to resolve the following CI bad practices? [The CI server hardware is used for different purposes other than running the CI framework],What is the level of effort to resolve the following CI bad practices? [External tools are used with their default configurations],"What is the level of effort to resolve the following CI bad practices? [A build fails because of some flakiness in the execution, whereas it should not]",What is the level of effort to resolve the following CI bad practices? [Lengthy build scripts],What is the level of effort to resolve the following CI bad practices? [Quality gates are defined without developers considering only what dictated by the customer],What is the level of effort to resolve the following CI bad practices? [Developers and operators are kept as separate roles]
P1,Graduate,Design,Basic,Basic,Maintainability,Reliability,Maintainability,Maintainability,Security,Security,Reliability,Maintainability,Security,Security,Security,Maintainability,Maintainability,Security,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure,Not sure
P2,Graduate,Developer,Basic,Basic,Maintainability,"Reliability, Maintainability",Maintainability,Reliability,"Reliability, Security",Reliability,"Reliability, Maintainability",Maintainability,Security,"Reliability, Maintainability",Maintainability,Maintainability,Reliability,Reliability,Medium,"Low, Medium",High,Low,Low,Medium,Medium,"Low, Medium",High,High,Medium,Medium,Medium,"Low, Medium"
P3,Graduate,Developer,Intermediate,Intermediate,"Reliability, Maintainability",Maintainability,None,None,"Reliability, Security","Reliability, Security","Reliability, Security","Reliability, Maintainability","Reliability, Security",Security,"Reliability, Security","Reliability, Security","Reliability, Maintainability",Reliability,Medium,High,Low,Low,High,Low,High,High,High,Medium,High,High,Not sure,Not sure
P4,Graduate,Developer,Intermediate,Advanced,"Reliability, Maintainability",Maintainability,Reliability,Security,Security,Reliability,Reliability,"Reliability, Maintainability",Maintainability,"Security, Maintainability","Security, Maintainability",Maintainability,Security,"Reliability, Security, Maintainability",Medium,High,Medium,Low,Medium,Low,Medium,Medium,Medium,Medium,High,High,High,High
P5,Master's Degree,Developer,Basic,Basic,"None, Maintainability",Maintainability,"Reliability, Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability",None,"Reliability, Security, Maintainability","Reliability, Security",Security,"Reliability, Security, Maintainability","Reliability, Security, Maintainability",Maintainability,Security,"Reliability, Security, Maintainability",Low,Medium,Not sure,Not sure,Low,Low,Not sure,Low,Not sure,Low,Not sure,Not sure,Low,Not sure
P6,Master's Degree,Coordinator,Basic,Intermediate,"Reliability, Security","Reliability, Security, Maintainability","Reliability, Maintainability","Reliability, Maintainability","Reliability, Security","Reliability, Security","Reliability, Security","Reliability, Security","Reliability, Security","Reliability, Security, Maintainability","Reliability, Security",Maintainability,"Reliability, Security",Reliability,Not sure,Medium,Not sure,Low,High,Medium,Low,High,Not sure,Not sure,Not sure,Medium,Medium,Medium
P7,Graduate,Developer,Basic,Basic,Maintainability,Maintainability,None,Maintainability,Reliability,Reliability,Reliability,"Reliability, Maintainability","Reliability, Security","Reliability, Maintainability",Reliability,Maintainability,Reliability,"Reliability, Maintainability",Low,Low,Not sure,Low,Medium,Not sure,Medium,Low,Medium,Low,Not sure,Low,Medium,Low
P8,Graduate,Developer,Basic,Basic,Maintainability,Maintainability,"Reliability, Security, Maintainability",Security,"None, Security",Security,Reliability,Maintainability,Security,Security,"Security, Maintainability","Reliability, Maintainability","Reliability, Security","Reliability, Maintainability",Not sure,Low,Medium,High,High,Low,Medium,High,Medium,Not sure,Medium,Not sure,Not sure,Medium
P9,Graduate,Developer,Basic,Basic,Maintainability,Maintainability,"Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability",Maintainability,"Reliability, Security","Security, Maintainability",Security,"None, Reliability, Security, Maintainability","Reliability, Maintainability","Reliability, Security","Reliability, Security","Security, Maintainability",Medium,Medium,Medium,Medium,Medium,Medium,High,High,"Low, High","Low, High",Medium,Medium,Low,"Low, Medium"
P10,Graduate,Developer,Basic,Basic,"Reliability, Security, Maintainability","Reliability, Maintainability",Maintainability,Maintainability,"Reliability, Security","Reliability, Maintainability","Reliability, Security","Reliability, Maintainability","Reliability, Security","Security, Maintainability","Reliability, Security","Security, Maintainability","Reliability, Security, Maintainability","Security, Maintainability",Low,Medium,Low,Low,Medium,Medium,Medium,High,High,Medium,Low,Medium,Medium,High
P11,Graduate,Developer and Requirements analyst,Basic,Intermediate,"Reliability, Security, Maintainability",Maintainability,"Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability","Reliability, Security, Maintainability",Maintainability,"Reliability, Security, Maintainability","Reliability, Security, Maintainability",High,Low,Low,Low,High,Medium,High,Low,Medium,Low,Not sure,Low,Medium,High
P12,Master's Degree,"Developer, but I also worked with test case specification",Intermediate,Advanced,"Reliability, Maintainability",Maintainability,Maintainability,Maintainability,"Reliability, Security","Reliability, Maintainability","Reliability, Security","Reliability, Security, Maintainability","Reliability, Security","Reliability, Maintainability",Reliability,"Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability",Not sure,Not sure,Medium,Medium,Medium,High,High,High,Medium,High,Medium,Medium,High,High
P13,Graduate,Developer,Intermediate,Intermediate,"Security, Maintainability","Reliability, Security, Maintainability",Maintainability,Maintainability,"Reliability, Maintainability","Reliability, Maintainability","Reliability, Maintainability",Maintainability,"Reliability, Security, Maintainability",Security,Reliability,Maintainability,Reliability,"Reliability, Security, Maintainability",Medium,High,Medium,Low,Low,Medium,High,Medium,Medium,Medium,Low,Medium,Low,High
P14,Graduate,Developer,Basic,Intermediate,Reliability,Reliability,None,"Security, Maintainability","Reliability, Security","Reliability, Maintainability",Reliability,"Reliability, Maintainability","Reliability, Maintainability",Reliability,Reliability,Maintainability,"Reliability, Security",None,Medium,Medium,Not sure,Low,Medium,Low,Medium,"Medium, High",Low,Medium,Low,High,Not sure,Low
P15,PhD,Supervisor,Intermediate,Intermediate,"Reliability, Maintainability","Reliability, Maintainability",Maintainability,"Reliability, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Maintainability","Security, Maintainability","Reliability, Maintainability","Reliability, Security, Maintainability",Maintainability,"Reliability, Security, Maintainability","Reliability, Maintainability",High,Low,Low,Low,High,Medium,Medium,Low,High,Low,Medium,Not sure,Not sure,Low
P16,Graduate,Developer,Basic,Basic,"Reliability, Maintainability",Maintainability,None,Reliability,Reliability,None,Reliability,Maintainability,"Reliability, Security",Maintainability,Reliability,Maintainability,"Reliability, Security",Maintainability,Low,Medium,Low,Medium,Medium,Low,High,Medium,High,Low,Medium,Medium,Medium,Medium
P17,Master's Degree,Developer,Intermediate,Basic,Maintainability,"Security, Maintainability",Reliability,"Reliability, Security, Maintainability","Reliability, Security","Reliability, Security","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security","Security, Maintainability","Reliability, Security, Maintainability","Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability",Low,Medium,Low,Medium,Medium,High,High,Medium,High,Medium,High,High,Medium,High
P18,Graduate,Developer,Advanced,Advanced,"Reliability, Maintainability",Maintainability,Maintainability,Reliability,"Reliability, Maintainability",None,"Reliability, Maintainability",Maintainability,Security,None,Maintainability,Maintainability,"Reliability, Security, Maintainability","Reliability, Security, Maintainability",Medium,High,Low,Low,High,High,Medium,Medium,Medium,Medium,Medium,Low,Medium,Medium
P19,Graduate,Developer,Basic,Intermediate,"Security, Maintainability","Reliability, Maintainability",Security,"Reliability, Maintainability","Reliability, Security","Reliability, Security","Reliability, Security, Maintainability",Maintainability,"Reliability, Security","Reliability, Security, Maintainability",Reliability,Maintainability,"Reliability, Maintainability",Maintainability,Medium,High,Medium,Medium,High,Not sure,High,High,High,Not sure,Low,Medium,Not sure,Medium
P20,PhD,Training supervisor,Advanced,Advanced,"Reliability, Security",Maintainability,"Security, Maintainability","Reliability, Maintainability","Reliability, Security","Reliability, Security","Reliability, Security",Maintainability,Security,Security,Reliability,Maintainability,"Reliability, Security",Maintainability,Medium,High,Low,Low,High,Medium,Medium,Medium,Medium,Medium,Medium,Low,Low,Medium
P21,Graduate,Developer,Intermediate,Intermediate,None,None,Security,Maintainability,Security,"Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability","Reliability, Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability","Reliability, Security","Reliability, Security, Maintainability",Not sure,Medium,Low,"Low, Medium",Low,Not sure,Not sure,"Not sure, Low","Not sure, Low","Not sure, Low","Not sure, Low","Not sure, Low","Not sure, Low","Not sure, Low"
