,COHESION,COMPLEXITY,,,,INHERITANCE,,,COUPLING,SIZE,,,
,LCOM(PercentLackOfCohesion),Average Cyclomatic Complexity,Sum Cyclomatic Complexity,Essential Complexity,Nesting,DIT(MaxInheritanceTree),NOC(CountClassDerived),Base Classes(CountClassBase),CBO(CountClassCoupled),LOC,CLOC,Number of Methods ,Number of Classes
AuthController.java,0,0,0,0,0,0,1,0,4,3198,282,446,82
AuthControllerImpl.java,58,1,5,1,1,1,0,2,7,,,,
AuthenticationRequest.java,50,1,7,1,0,1,0,2,0,Total,,,
CategoriaComportamento.java,100,1,2,1,0,1,0,1,0,4008,,,
Comissao.java,58,1,8,1,1,1,0,1,1,,,,
ComissaoRepository.java,0,0,0,0,0,2,0,1,1,,,,
ComissaoService.java,0,0,0,0,0,0,1,0,1,,,,
ComissaoServiceImpl.java,0,1,1,1,0,1,0,2,2,,,,
Competencia.java,80,1,16,3,1,1,0,1,1,,,,
CompetenciaController.java,0,0,0,0,0,0,1,0,2,,,,
CompetenciaControllerImpl.java,0,1,2,1,0,1,0,2,3,,,,
CompetenciaRepository.java,,,,,,,,,,,,,
CompetenciaService.java,0,0,0,0,0,0,1,0,2,,,,
CompetenciaServiceImpl.java,0,1,4,1,0,1,0,2,3,,,,
Comportamento.java,85,1,22,1,0,1,0,1,4,,,,
ComportamentoController.java,0,0,0,0,0,0,1,0,6,,,,
ComportamentoControllerImpl.java,43,4,52,1,2,1,0,2,15,,,,
ComportamentoRepository.java,0,0,0,0,0,2,0,2,3,,,,
ComportamentoSearch.java,75,1,12,1,0,1,0,1,4,,,,
ComportamentoService.java,0,0,0,0,0,0,1,0,4,,,,
ComportamentoServiceImpl.java,0,1,8,1,0,1,0,2,5,,,,
ComportamentoSpecification.java,50,5,10,1,2,1,0,2,3,,,,
CorsFilter.java,0,1,5,1,1,1,0,2,0,,,,
CustomResponses.java,0,0,0,0,0,1,0,1,0,,,,
DemoApplicationTests.java,0,1,1,1,0,1,0,1,0,,,,
Dificuldade.java,86,1,6,1,0,1,0,1,0,,,,
Etapa.java,100,1,2,1,0,1,0,1,0,,,,
EtapaResponsabilidade.java,100,1,2,1,0,1,0,1,0,,,,
ExceptionHandlingController.java,0,1,7,1,0,2,0,1,8,,,,
ExceptionResponse.java,75,1,8,1,0,1,2,1,0,,,,
FileUploadException.java,0,1,1,1,0,2,0,1,0,,,,
GestaoCompetenciaApplication.java,0,1,2,1,0,1,0,1,0,,,,
GestaoCompetenciaException.java,100,1,1,1,0,2,0,1,0,,,,
IPermissaoNormalizacao.java,0,0,0,0,0,0,0,0,1,,,,
Impacto.java,84,1,5,1,0,1,0,1,0,,,,
InvalidJwtAuthenticationException.java,0,1,1,1,0,2,0,1,0,,,,
InventarioCompController.java,0,0,0,0,0,0,0,0,2,,,,
InventarioCompControllerImpl.java,0,0,0,0,0,1,0,1,0,,,,
InventarioCompServiceImpl.java,0,0,0,0,0,1,0,1,0,,,,
JwtConfigurer.java,0,1,2,1,0,2,0,1,2,,,,
JwtTokenFilter.java,0,2,5,1,3,2,0,1,2,,,,
JwtTokenProvider.java,66,1,9,3,2,1,0,1,1,,,,
Mapeamento.java,95,1,45,7,2,1,0,1,2,,,,
MapeamentoController.java,0,0,0,0,0,0,1,0,3,,,,
MapeamentoControllerImpl.java,16,7,21,13,2,1,0,2,8,,,,
MapeamentoRepository.java,0,0,0,0,0,2,0,1,2,,,,
MapeamentoService.java,0,0,0,0,0,0,1,0,3,,,,
MapeamentoServiceImpl.java,50,1,24,1,2,1,0,2,6,,,,
Monitoramento.java,70,1,11,1,0,1,0,1,0,,,,
NotAllowedException.java,0,1,1,1,0,2,0,1,0,,,,
ResourceAlreadyExistsException.java,0,1,1,1,0,2,0,1,0,,,,
ResourceNotFoundException.java,50,1,4,1,0,2,0,1,0,,,,
Responsabilidade.java,95,1,71,1,1,1,0,1,5,,,,
ResponsabilidadeController.java,0,0,0,0,0,0,1,0,8,,,,
ResponsabilidadeControllerImpl.java,25,6,49,1,3,1,0,2,13,,,,
ResponsabilidadeRepository.java,0,0,0,0,0,2,0,2,1,,,,
ResponsabilidadeSearch.java,70,1,10,1,0,1,0,1,3,,,,
ResponsabilidadeService.java,0,0,0,0,0,0,1,0,2,,,,
