id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
5767,merged,0,1,0,1,0,1,0,1,-6254,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,30757,1,10,0,10,0,0,0,0,0,0,0,0,0,0,1
5754,merged,0,1,0,1,0,1,0,1,-8036,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,314835,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
5752,merged,0,1,0,1,0,1,0,1,-14337,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,16459,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
5711,merged,0,6,0,6,0,3,0,3,1540265639,5.992310449541053e+307,0,5.992310449541053e+307,9,0,3,0,1540582521,1,95,12,95,12,0,0,0,0,0,0,0,0,0,4
5710,merged,0,4,0,4,0,7,0,7,15500151,5.992310449541053e+307,0,5.992310449541053e+307,21,0,7,0,21192866,1,39,3,39,3,0,0,0,0,0,0,0,0,0,6
5708,merged,0,3,0,3,0,6,0,6,4798441,5.992310449541053e+307,0,5.992310449541053e+307,18,0,6,0,5041308,1,9,3,9,3,0,0,0,0,0,0,0,0,0,5
5687,merged,0,1,0,1,0,1,0,1,-77712,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,11627,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
5686,merged,0,3,0,3,0,1,0,1,369,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,252107,1,30,2,30,2,0,0,0,0,0,0,0,0,0,1
5387,merged,0,1,0,1,0,1,0,1,-34209,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,5684,1,0,20,0,20,0,0,0,0,0,0,0,0,0,0
5386,merged,0,3,0,3,0,1,0,1,-37594,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,6969,1,91,64,91,64,0,0,0,0,0,0,0,0,0,0
5384,merged,0,5,0,5,0,1,0,1,-159835,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,45373,1,111,0,111,0,0,0,0,0,0,0,0,0,0,0
5383,merged,0,1,0,1,0,1,0,1,-48089,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,10448,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
5382,merged,0,1,0,1,0,1,0,1,-7141,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,8583,1,1,5,1,5,0,0,0,0,0,0,0,0,0,0
5381,merged,0,1,0,1,0,1,0,1,-219415,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,137796,1,9,1,9,1,0,0,0,0,0,0,0,0,0,0
5209,merged,1,6,0,5,0,1,0,1,-55518,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,133953,1,119,0,119,0,0,0,0,0,0,0,0,0,0,0
4788,merged,0,1,0,1,0,1,1,0,-8031,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,7816,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1
4787,merged,0,1,0,1,0,1,1,0,-8771,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,14744,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
4786,merged,0,1,0,1,0,1,0,1,-18.97,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,6719,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
4785,merged,0,1,0,1,0,1,0,1,-7938,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,5483,1,6,1,6,1,0,0,0,0,0,0,0,0,0,1
4783,merged,0,1,0,1,0,1,0,1,-7773,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,9408,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1
4782,merged,0,3,0,3,0,1,0,1,-24455,5.992310449541053e+307,0,5.992310449541053e+307,3,1,1,0,15041,1,16,12,16,12,0,0,0,0,0,0,0,0,0,1
4781,merged,0,1,0,1,0,1,0,1,-10943,5.992310449541053e+307,0,5.992310449541053e+307,3,0,1,0,8762,1,3,7,3,7,0,0,0,0,0,0,0,0,0,1
4780,merged,0,2,0,2,0,2,0,2,129.12,5.992310449541053e+307,0,5.992310449541053e+307,6,2,2,0,152453,1,6,6,6,6,0,0,0,0,0,0,0,0,0,2
4777,merged,1,9,0,8,0,1,0,1,-6427984,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,11893,1,453,36,453,36,0,0,0,0,0,0,0,0,0,1
4775,merged,0,8,0,8,0,1,0,1,-6407238,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,112401,1,75,10,75,10,0,0,0,0,0,0,0,0,0,0
4765,merged,3,10,0,7,0,1,0,1,-69167,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,7241,1,298,38,298,38,0,0,0,0,0,0,0,0,0,0
4748,merged,0,1,0,1,0,1,0,1,-48842,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,12067,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0
