id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
5447,merged,0,12,0,12,0.0,2,0,2,1373348,5.992310449541053e+307,0,5.992310449541053e+307,8,5,1,0,1457409,1,271,126,0,0,0,0,0,0,0.0,0,0,0,0,7
5283,merged,0,14,0,14,0.0,5,0,5,471306.44,5.992310449541053e+307,0,5.992310449541053e+307,20,17,1,0,29518,1,50,26,0,0,0,0,0,0,0.0,0,0,0,0,5
5368,merged,0,14,0,14,0.0,12,0,12,1236424.22,5.992310449541053e+307,0,5.992310449541053e+307,48,48,0,0,32239,1,64,70,0,0,0,0,0,0,0.0,0,0,0,0,5
5303,merged,0,8,0,8,0.0,11,0,11,1153529673,5.992310449541053e+307,0,5.992310449541053e+307,44,44,0,0,14879,1,30,52,0,0,0,0,0,0,0.0,0,0,0,0,3
4828,merged,1,16,0,15,678377,3,2,1,89024209,5.992310449541053e+307,0,5.992310449541053e+307,9,9,0,0,89154637,1,347,74,0,0,0,0,0,0,0.0,0,0,0,0,3
4964,merged,0,1,0,1,0.0,4,2,2,206880.38,5.992310449541053e+307,0,5.992310449541053e+307,8,4,4,0,6629,1,2,2,0,0,0,0,0,0,0.0,0,0,0,0,2
5182,merged,0,6,0,6,0.0,10,0,10,833511145,5.992310449541053e+307,0,5.992310449541053e+307,40,36,2,0,273393,1,2,2,0,0,0,0,0,0,0.0,0,0,0,0,2
4592,merged,1,9,0,8,639864,17,14,3,1383827.56,5.992310449541053e+307,0,5.992310449541053e+307,51,51,0,0,1383917.37,2,230,112,0,0,0,0,0,0,0.0,0,0,0,0,1
4676,merged,0,8,0,8,0.0,11,11,0,1209437.79,5.992310449541053e+307,0,5.992310449541053e+307,33,33,0,0,1210012351,2,55,21,0,0,0,0,0,0,0.0,0,0,0,0,1
4697,merged,0,11,0,11,342.05100000000004,13,9,4,520770799,5.992310449541053e+307,0,5.992310449541053e+307,39,30,3,0,520888123,2,183,25,0,0,0,0,0,0,0.0,0,0,0,0,1
4531,merged,0,9,0,9,435242074,13,10,3,698566551,5.992310449541053e+307,0,5.992310449541053e+307,39,39,0,0,696107675,2,113,27,0,0,0,0,0,0,0.0,0,0,0,0,1
4430,merged,0,3,0,3,504421,4,3,1,11171222,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,11309427,2,5,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4357,merged,0,9,0,9,2728251,5,3,2,6810634,5.992310449541053e+307,0,5.992310449541053e+307,15,15,0,0,6953203,2,82,39,0,0,0,0,0,0,0.0,0,0,0,0,0
4275,merged,1,11,0,10,1227.13,7,6,1,517932578,5.992310449541053e+307,0,5.992310449541053e+307,21,21,0,0,518025086,2,257,11,0,0,0,0,0,0,0.0,0,0,0,0,0
4616,merged,1,14,0,13,257153.14,13,11,2,684332183,5.992310449541053e+307,0,5.992310449541053e+307,39,39,0,0,685098231,2,351,74,0,0,0,0,0,0,0.0,0,0,0,0,0
5658,merged,0,1,0,1,0.0,10,0,10,1307722198,5.992310449541053e+307,0,5.992310449541053e+307,40,36,2,0,1307904786,3,89,19,0,0,0,0,0,0,0.0,0,0,0,0,0
5729,merged,0,2,0,2,0.0,4,0,4,91212333,5.992310449541053e+307,0,5.992310449541053e+307,16,2,6,0,91383697,2,22,17,0,0,0,0,0,0,0.0,0,0,0,0,0
4236,merged,2,9,0,7,508621945,7,1,6,508500235,5.992310449541053e+307,0,5.992310449541053e+307,21,21,0,0,509995153,2,234,176,0,0,0,0,0,0,0.0,0,0,0,0,0
5705,merged,0,1,0,1,0.0,7,0,7,426551.88,5.992310449541053e+307,0,5.992310449541053e+307,28,27,1,0,426952.91,3,35,15,0,0,0,0,0,0,0.0,0,0,0,0,0
4237,merged,0,2,0,2,659636,5,4,1,6747.29,5.992310449541053e+307,0,5.992310449541053e+307,15,15,0,0,9020811,2,145,82,0,0,0,0,0,0,0.0,0,0,0,0,0
4326,merged,0,9,0,9,0.0,11,11,0,518405355,5.992310449541053e+307,0,5.992310449541053e+307,33,33,0,0,518794565,2,139,140,0,0,0,0,0,0,0.0,0,0,0,0,0
4433,merged,0,2,0,2,527383,3,2,1,945364,5.992310449541053e+307,0,5.992310449541053e+307,9,9,0,0,1132727,2,2,2,0,0,0,0,0,0,0.0,0,0,0,0,0
5733,merged,0,1,0,1,0.0,2,0,2,1667.12,5.992310449541053e+307,0,5.992310449541053e+307,8,0,4,0,1769965,2,4,4,0,0,0,0,0,0,0.0,0,0,0,0,0
5728,merged,0,1,0,1,0.0,4,0,4,92017869,5.992310449541053e+307,0,5.992310449541053e+307,16,5,5,0,92153725,2,7,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4361,merged,0,1,0,1,185133,2,1,1,53736,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,170414,2,10,12,0,0,0,0,0,0,0.0,0,0,0,0,0
4379,merged,0,3,0,3,510967,3,2,1,1405244,5.992310449541053e+307,0,5.992310449541053e+307,9,9,0,0,1514602,2,9,5,0,0,0,0,0,0,0.0,0,0,0,0,0
4238,merged,2,9,0,7,437720012,7,4,3,689855251,5.992310449541053e+307,0,5.992310449541053e+307,21,21,0,0,690087324,2,254,16,0,0,0,0,0,0,0.0,0,0,0,0,0
4374,merged,0,5,0,5,321661,2,1,1,231399,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,574381,2,96,85,0,0,0,0,0,0,0.0,0,0,0,0,0
4082,merged,0,15,0,15,429034854,4,3,1,436092.52,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,436191914,2,154,86,0,0,0,0,0,0,0.0,0,0,0,0,0
4358,merged,0,4,0,4,1742569,3,2,1,1971939,5.992310449541053e+307,0,5.992310449541053e+307,9,9,0,0,2953849,2,18,19,0,0,0,0,0,0,0.0,0,0,0,0,0
6427,merged,0,2,0,2,0.0,2,2,0,2833,247119,0,5.992310449541053e+307,6,6,0,0,316872,2,7,7,0,0,1,1,0,0,0.0,0,0,0,0,1
4857,merged,0,2,0,2,0.0,1,1,0,-18458,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,276547,1,5,7,0,0,0,0,0,0,0.0,0,0,0,0,10
5057,merged,0,10,0,10,0.0,1,0,1,-23315,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,21732,1,27,20,0,0,0,0,0,0,0.0,0,0,0,0,12
6263,merged,0,27,0,27,0.0,2,2,0,3505,181251,0,5.992310449541053e+307,6,6,0,0,298097,2,194,115,0,0,1,1,0,0,0.0,0,0,0,0,3
4837,merged,0,6,1,5,0.0,1,1,0,-31.77,5.992310449541053e+307,0,5.992310449541053e+307,6,5,0,0,291936,1,9,6,0,0,0,0,0,0,0.0,0,0,0,0,48
5050,merged,0,51,0,51,0.0,2,0,2,94288733,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,94540.8,1,2359,2219,0,0,0,0,0,0,0.0,0,0,0,0,7
4339,merged,0,6,0,6,0.0,2,2,0,1031752,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,1399256,2,373,327,0,0,0,0,0,0,0.0,0,0,0,0,0
4200,merged,1,9,1,7,0.0,1,1,0,-76873585,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,415025178,2,87,121,0,0,0,0,0,0,0.0,0,0,0,0,0
4827,merged,0,1,0,1,0.0,1,1,0,-1743816,5.992310449541053e+307,0,5.992310449541053e+307,6,5,0,0,18821,1,4,0,0,0,0,0,0,0,0.0,0,0,0,0,35
4338,merged,0,6,0,6,0.0,1,1,0,-6312,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,107596,1,267,312,0,0,0,0,0,0,0.0,0,0,0,0,1
4613,merged,12,41,3,26,0.0,1,1,0,-543361,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,21886,1,947,79,0,0,0,0,0,0,0.0,0,0,0,0,18
6439,merged,0,2,0,2,0.0,1,1,0,3225,282487,0,5.992310449541053e+307,3,3,0,0,1858796,3,4,2,0,0,1,1,0,0,0.0,0,0,0,0,0
4356,merged,0,30,1,29,0.0,1,1,0,-58147,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,732757,2,334,352,0,0,0,0,0,0,0.0,0,0,0,0,0
4826,merged,1,23,1,21,0.0,1,1,0,-188216,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,25644,1,224,170,0,0,0,0,0,0,0.0,0,0,0,0,2
6440,merged,0,3,0,3,0.0,1,1,0,83230983,83520.7,0,5.992310449541053e+307,3,3,0,0,88045738,3,6,3,0,0,1,1,0,0,0.0,0,0,0,0,0
4123,merged,0,11,8,3,0.0,1,1,0,-10303,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,3747,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1
4131,merged,6,7,0,1,0.0,1,1,0,-14625,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,280335,1,59,10,0,0,0,0,0,0,0.0,0,0,0,0,1
4406,merged,102,147,1,44,0.0,1,1,0,-127246,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,132968,1,70,55,0,0,0,0,0,0,0.0,0,0,0,0,4
4102,merged,4,18,0,14,0.0,1,1,0,-109342,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,397952,2,500,74,0,0,0,0,0,0,0.0,0,0,0,0,0
4960,merged,17,38,0,21,0.0,1,1,0,-184068,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,276604,1,989,50,0,0,0,0,0,0,0.0,0,0,0,0,35
4122,merged,42,120,49,29,0.0,1,0,1,-15769,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,12379,1,1508,1963,0,0,0,0,0,0,0.0,0,0,0,0,1
4273,merged,5,11,0,6,0.0,1,1,0,-135208,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,515929401,2,384,5,0,0,0,0,0,0,0.0,0,0,0,0,0
4350,merged,1,15,0,14,0.0,1,1,0,-133508,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,1163447,2,659,366,0,0,0,0,0,0,0.0,0,0,0,0,0
4970,merged,0,6,2,4,0.0,1,0,1,-135647,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,292676,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,23
4429,merged,0,4,0,4,0.0,10,10,0,85312808,12216347,0,12216347,30,30,0,0,85528153,2,0,0,0,0,1,1,0,0,0.0,0,0,0,0,0
4836,merged,1,21,0,20,0.0,2,2,0,48955.1,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,8071429,1,645,192,0,0,0,0,0,0,0.0,0,0,0,0,11
5040,merged,1,8,0,7,0.0,1,0,1,-22.79,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,55463,1,47,1,0,0,0,0,0,0,0.0,0,0,0,0,8
5181,merged,0,1,0,1,0.0,1,0,1,-265.77,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,162063,1,1,1,0,0,0,0,0,0,0.0,0,0,0,0,29
4858,merged,0,3,0,3,0.0,1,1,0,-70933,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,570479,1,18,9,0,0,0,0,0,0,0.0,0,0,0,0,11
4077,merged,11,12,1,0,0.0,2,2,0,931408,5.992310449541053e+307,0,5.992310449541053e+307,4,4,0,0,1374806559,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0
4193,merged,1,9,0,8,0.0,8,8,0,1292328194,767838121,1,767819964,24,24,0,0,1292523687,2,182,48,0,0,2,0,2,2,18157,0,0,0,0,0
5538,merged,1,3,0,2,0.0,8,0,8,774913716,766065667,3,173529727,32,32,0,0,781890588,2,79,1,0,0,13,0,13,11,49377995,0,0,0,0,0
4317,merged,0,13,0,13,0.0,7,7,0,596482219,5.992310449541053e+307,0,5.992310449541053e+307,21,21,0,0,597341181,2,681,632,0,0,0,0,0,0,0.0,0,0,0,0,0
5081,merged,0,36,0,36,0.0,5,0,5,642481909,5.992310449541053e+307,0,5.992310449541053e+307,20,20,0,0,687380591,1,478,361,0,0,0,0,0,0,0.0,0,0,0,0,4
6426,merged,2,52,0,50,0.0,6,6,0,931323,1355.37,2,5.992310449541053e+307,18,18,0,0,1780103,2,483,1065,0,0,5,3,2,1,261.3415,0,0,0,0,7
6247,merged,0,11,0,11,0.0,3,3,0,265181759,265546049,0,5.992310449541053e+307,9,9,0,0,265764529,2,180,111,0,0,3,3,0,0,130716934,0,0,0,0,3
5590,merged,0,1,0,1,0.0,9,0,9,1123863.47,1119833603,2,1119831571,36,36,0,0,1124782291,2,158,4,0,0,5,0,5,5,508,0,0,0,0,1
5079,merged,0,7,0,7,0.0,9,0,9,745123548,5.992310449541053e+307,0,5.992310449541053e+307,36,36,0,0,1742823,1,53,25,0,0,0,0,0,0,0.0,0,0,0,0,17
4859,merged,0,6,0,6,0.0,4,4,0,50357751,5.992310449541053e+307,0,5.992310449541053e+307,16,16,0,0,4596535,1,11,6,0,0,0,0,0,0,0.0,0,0,0,0,14
5053,merged,0,51,0,51,0.0,3,0,3,40327637,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,1453755,1,2359,2218,0,0,0,0,0,0,0.0,0,0,0,0,8
6250,merged,1,55,1,53,0.0,4,4,0,758107,1134781,0,5.992310449541053e+307,12,12,0,0,1214279,2,536,604,0,0,2,2,0,0,727086,0,0,0,0,17
5056,merged,0,6,0,6,0.0,2,0,2,482123,5.992310449541053e+307,0,5.992310449541053e+307,8,8,0,0,654934,1,26,19,0,0,0,0,0,0,0.0,0,0,0,0,11
4820,merged,15,80,4,61,0.0,4,4,0,222769145,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,448.56,1,2607,864,0,0,0,0,0,0,0.0,0,0,0,0,85
4614,merged,0,1,0,1,0.0,5,5,0,600576795,5.992310449541053e+307,0,5.992310449541053e+307,15,15,0,0,190.86,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,20
5448,merged,0,1,0,1,0.0,3,0,3,43071846,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,739507,1,0,1,0,0,0,0,0,0,0.0,0,0,0,0,9
4496,merged,0,7,0,7,0.0,4,4,0,7021193,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,7278088,2,435,409,0,0,0,0,0,0,0.0,0,0,0,0,1
4625,merged,0,2,0,2,0.0,4,4,0,524044696,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,1809940875,2,58,48,0,0,0,0,0,0,0.0,0,0,0,0,0
5609,merged,0,1,0,1,0.0,3,0,3,1128304428,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,1129167.35,2,1221,617,0,0,0,0,0,0,0.0,0,0,0,0,0
