id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
6402,merged,6,67,2,59,43545.0575,12,9,3,365014649,365177682,2,5.992310449541053e+307,24,21,3,0,365278087,2,429,554,1,2,22,12,10,4,17158.95671428572,2424,0,0,0,13
6401,merged,0,9,0,9,0,1,1,0,7313422,7469.91,0,5.992310449541053e+307,2,2,0,0,7709111,2,139,47,50,5,1,1,0,0,0,202,0,0,0,1
6400,merged,0,12,0,12,227245303,2,1,1,326162313,326493651,0,5.992310449541053e+307,4,2,1,0,326752593,2,112,80,5,9,1,1,0,0,0,398,1,0,0,2
6396,merged,1,37,0,36,0,3,0,3,10662718,10859342,0,5.992310449541053e+307,6,3,3,0,11678367,3,475,511,0,0,3,3,0,0,301.4925,588,0,0,0,0
6393,merged,0,12,0,12,3565342,11,9,2,776731349,776913698,0,5.992310449541053e+307,22,18,2,0,776954869,3,181,107,43,3,9,9,0,0,85792.46874999997,2188,3,0,0,7
6372,merged,0,9,0,9,0,6,6,0,1729910004,1730057199,4,5.992310449541053e+307,12,12,0,0,1732978502,3,157,40,0,0,11,7,4,3,51266.9697,1176,0,0,0,5
6371,merged,0,9,4,5,0,13,13,0,613056949,613301956,0,5.992310449541053e+307,26,26,0,0,1120140562,3,67,527,0,0,13,13,0,0,50678.020833333336,2548,0,0,0,0
6368,merged,0,1,0,1,0,3,3,0,80043235,80423713,0,5.992310449541053e+307,6,6,0,0,80683489,3,39,7,0,0,3,3,0,0,38192.7115,588,0,0,0,0
6359,merged,35,37,0,2,0,1,0,1,606419563,606858208,0,5.992310449541053e+307,2,1,1,0,701891699,3,1520,1,0,0,1,1,0,0,0,196,0,0,0,0
6348,merged,3,12,0,9,0,3,3,0,1300914828,1301110967,1,1298152446,6,6,0,0,1301246439,3,117,26,0,0,8,3,5,5,10989.589142857145,588,0,0,0,0
6347,merged,1,3,0,2,0,3,3,0,81965664,82493165,0,5.992310449541053e+307,6,6,0,0,85043986,3,57,0,0,0,3,3,0,0,2108956,588,0,0,0,0
6337,merged,0,3,0,3,0,9,9,0,328414722,328592589,1,88325394,18,18,0,0,330185.47,3,82,10,0,0,10,9,1,1,29191.877888888892,1764,0,0,0,2
6335,merged,0,2,0,2,5078994,12,11,1,614019745,614203205,2,90403839,24,23,1,0,614504396,3,72,27,0,0,20,12,8,8,27644.380421052632,2352,0,0,0,0
6331,merged,1,4,0,3,0,3,3,0,415586547,415764246,0,5.992310449541053e+307,6,6,0,0,415939498,3,74,13,0,0,3,3,0,0,6858.9895,588,0,0,0,2
6330,merged,0,1,0,1,0,1,1,0,1958043,5.992310449541053e+307,0,5.992310449541053e+307,2,1,1,0,4803255,2,14,4,0,0,0,0,0,0,0,196,0,0,0,0
