id,status,added_files,total_changes,deleted_files,modified_files,build_correction_intervals,total_builds,success_builds,failed_builds,ci_latency,time_between_first_and_last_comment,reviews_number,first_response_time,total_jobs,success_jobs,failed_jobs,mention_number,review_time,participants_number,source_code_added_lines,source_code_removed_lines,test_code_added_lines,test_code_removed_lines,total_comments,general_comments,inline_comments,effective_comments,average_time_between_comments,tests_run,tests_fail,tests_error,skipped_tests,self_merged_commits
4566,merged,0,7,0,7,409881,3,2,1,6741005,5.992310449541053e+307,0,5.992310449541053e+307,9,9,0,0,6908972,1,61,1,0,0,0,0,0,0,0.0,582,0,0,0,2
5182,merged,0,6,0,6,0.0,10,0,10,833511145,5.992310449541053e+307,0,5.992310449541053e+307,40,36,2,0,273393,1,2,2,0,0,0,0,0,0,0.0,0,0,0,0,2
4949,merged,1,4,0,3,0.0,6,0,6,677771.9,5.992310449541053e+307,0,5.992310449541053e+307,18,6,6,0,678160498,2,131,32,0,0,0,0,0,0,0.0,0,0,0,0,2
4261,merged,1,5,0,4,1202740357,8,2,6,1208921.76,5.992310449541053e+307,0,5.992310449541053e+307,24,18,2,0,1209128941,2,124,14,0,0,0,0,0,0,0.0,1098,0,0,0,2
4964,merged,0,1,0,1,0.0,4,2,2,206880.38,5.992310449541053e+307,0,5.992310449541053e+307,8,4,4,0,6629,1,2,2,0,0,0,0,0,0,0.0,0,0,0,0,2
4967,merged,0,2,0,2,1675253,2,1,1,1676158,5.992310449541053e+307,0,5.992310449541053e+307,4,2,1,0,1847778,1,2,2,0,0,0,0,0,0,0.0,388,0,0,0,2
4295,merged,0,2,0,2,0.0,1,1,0,-299803,5.992310449541053e+307,0,5.992310449541053e+307,3,3,0,0,53923,1,8,4,0,0,0,0,0,0,0.0,183,0,0,0,1
5194,merged,1,2,0,1,0.0,12,0,12,103036.81,5.992310449541053e+307,0,5.992310449541053e+307,48,48,0,0,103704105,2,293,1,0,0,0,0,0,0,0.0,0,0,0,0,1
4803,merged,0,4,0,4,0.0,1,0,1,-27368,5.992310449541053e+307,0,5.992310449541053e+307,2,0,1,0,844298,1,5,4,0,0,0,0,0,0,0.0,49,33,0,0,1
4806,merged,0,1,0,1,0.0,1,0,1,-96472,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,24251,1,1,1,0,0,0,0,0,0,0.0,49,0,0,0,1
4592,merged,1,9,0,8,639864,17,14,3,1383827.56,5.992310449541053e+307,0,5.992310449541053e+307,51,51,0,0,1383917.37,2,230,112,0,0,0,0,0,0,0.0,0,0,0,0,1
4676,merged,0,8,0,8,0.0,11,11,0,1209437.79,5.992310449541053e+307,0,5.992310449541053e+307,33,33,0,0,1210012351,2,55,21,0,0,0,0,0,0,0.0,0,0,0,0,1
4531,merged,0,9,0,9,435242074,13,10,3,698566551,5.992310449541053e+307,0,5.992310449541053e+307,39,39,0,0,696107675,2,113,27,0,0,0,0,0,0,0.0,0,0,0,0,1
4805,merged,0,1,0,1,0.0,1,0,1,-7121,5.992310449541053e+307,0,5.992310449541053e+307,2,2,0,0,11578,1,0,0,0,0,0,0,0,0,0.0,49,0,0,0,1
5159,merged,2,5,0,3,0.0,12,0,12,1403512907,5.992310449541053e+307,0,5.992310449541053e+307,48,48,0,0,1404504837,2,340,151,0,0,0,0,0,0,0.0,0,0,0,0,1
4697,merged,0,11,0,11,342.05100000000004,13,9,4,520770799,5.992310449541053e+307,0,5.992310449541053e+307,39,30,3,0,520888123,2,183,25,0,0,0,0,0,0,0.0,0,0,0,0,1
4563,merged,0,5,0,5,0.0,2,2,0,3554844,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,3722095,1,19,14,0,0,0,0,0,0,0.0,388,0,0,0,1
4559,merged,0,2,0,2,0.0,2,2,0,1351407,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,3130737,1,2,2,0,0,0,0,0,0,0.0,388,0,0,0,1
5192,merged,1,3,0,2,0.0,14,0,14,535378434,5.992310449541053e+307,0,5.992310449541053e+307,56,56,0,0,535578687,2,295,6,0,0,0,0,0,0,0.0,0,0,0,0,1
4595,merged,0,1,0,1,507913,4,3,1,77023617,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,77572323,2,14,11,0,0,0,0,0,0,0.0,776,0,0,0,1
5196,merged,1,2,0,1,0.0,8,0,8,106666213,5.992310449541053e+307,0,5.992310449541053e+307,32,32,0,0,106746077,2,296,5,0,0,0,0,0,0,0.0,0,0,0,0,1
4562,merged,0,5,0,5,0.0,2,2,0,3571867,5.992310449541053e+307,0,5.992310449541053e+307,6,6,0,0,4085978,1,28,3,0,0,0,0,0,0,0.0,388,0,0,0,1
4528,merged,0,0,0,0,292205.4915,13,9,4,781567216,5.992310449541053e+307,0,5.992310449541053e+307,39,39,0,0,781772352,2,0,0,0,0,0,0,0,0,0.0,2517,0,0,0,1
4174,merged,0,9,0,9,1373919435,8,1,7,1373919465,5.992310449541053e+307,0,5.992310449541053e+307,23,18,2,0,1374261203,2,220,56,0,0,0,0,0,0,0.0,1408,12,146,0,0
4714,merged,0,3,0,3,0.0,6,6,0,607094938,5.992310449541053e+307,0,5.992310449541053e+307,18,18,0,0,607781742,2,227,55,0,0,0,0,0,0,0.0,0,0,0,0,0
5904,merged,0,5,0,5,0.0,5,0,5,977103735,5.992310449541053e+307,0,5.992310449541053e+307,20,4,6,0,1202887785,1,101,32,0,0,0,0,0,0,0.0,0,0,0,0,0
4579,merged,0,10,0,10,80327.66900000001,20,14,6,1895115046,5.992310449541053e+307,0,5.992310449541053e+307,60,60,0,0,1896180738,2,152,32,0,0,0,0,0,0,0.0,0,0,0,0,0
4476,merged,0,7,0,7,0.0,5,5,0,170113044,5.992310449541053e+307,0,5.992310449541053e+307,15,15,0,0,170422116,2,73,8,0,0,0,0,0,0,0.0,965,0,0,0,0
4687,merged,0,3,0,3,0.0,4,4,0,4339674,5.992310449541053e+307,0,5.992310449541053e+307,12,12,0,0,509210269,2,27,5,0,0,0,0,0,0,0.0,776,0,0,0,0
